,state,county,poverty_percent_15,median_household_income_15
469,GA,Hancock County,34.7,"28,328"
470,GA,Haralson County,19.2,"41,167"
471,GA,Harris County,9.9,"65,887"
472,GA,Hart County,18.6,"39,567"
473,GA,Heard County,19.1,"41,514"
474,GA,Henry County,9.9,"65,437"
475,GA,Houston County,15.2,"55,860"
476,GA,Irwin County,24.7,"35,284"
477,GA,Jackson County,13.0,"56,102"
478,GA,Jasper County,17.4,"46,398"
479,GA,Jeff Davis County,21.7,"36,186"
480,GA,Jefferson County,27.7,"32,023"
481,GA,Jenkins County,35.9,"29,924"
482,GA,Johnson County,30.2,"30,794"
483,GA,Jones County,14.2,"52,777"
484,GA,Lamar County,21.0,"42,177"
485,GA,Lanier County,21.8,"37,616"
486,GA,Laurens County,25.5,"36,960"
487,GA,Lee County,10.7,"68,636"
488,GA,Liberty County,20.3,"39,612"
489,GA,Lincoln County,21.4,"39,089"
490,GA,Long County,19.1,"42,542"
491,GA,Lowndes County,26.5,"37,699"
492,GA,Lumpkin County,16.5,"48,101"
493,GA,McDuffie County,27.4,"36,346"
494,GA,McIntosh County,24.0,"38,770"
495,GA,Macon County,33.5,"30,696"
496,GA,Madison County,15.1,"40,735"
497,GA,Marion County,25.5,"35,265"
498,GA,Meriwether County,22.1,"37,866"
499,GA,Miller County,25.1,"35,357"
500,GA,Mitchell County,28.0,"34,139"
501,GA,Monroe County,14.2,"53,070"
502,GA,Montgomery County,24.3,"36,821"
503,GA,Morgan County,14.3,"51,081"
504,GA,Murray County,17.8,"43,142"
505,GA,Muscogee County,22.2,"41,828"
506,GA,Newton County,14.9,"51,177"
507,GA,Oconee County,6.8,"76,371"
508,GA,Oglethorpe County,16.9,"43,428"
509,GA,Paulding County,8.8,"62,658"
510,GA,Peach County,22.0,"41,725"
511,GA,Pickens County,12.6,"56,289"
512,GA,Pierce County,22.1,"39,648"
513,GA,Pike County,11.7,"56,233"
514,GA,Polk County,20.8,"39,402"
515,GA,Pulaski County,24.4,"39,209"
516,GA,Putnam County,18.1,"44,323"
517,GA,Quitman County,28.9,"29,921"
518,GA,Rabun County,16.1,"40,834"
519,GA,Randolph County,26.9,"30,505"
520,GA,Richmond County,24.3,"40,821"
521,GA,Rockdale County,15.9,"51,510"
522,GA,Schley County,19.5,"41,737"
523,GA,Screven County,27.0,"35,911"
524,GA,Seminole County,25.8,"31,615"
525,GA,Spalding County,22.2,"41,250"
526,GA,Stephens County,21.2,"38,503"
527,GA,Stewart County,42.0,"28,977"
528,GA,Sumter County,30.8,"33,802"
529,GA,Talbot County,25.6,"33,510"
530,GA,Taliaferro County,33.5,"28,952"
531,GA,Tattnall County,27.5,"37,163"
532,GA,Taylor County,27.3,"32,041"
533,GA,Telfair County,34.7,"31,149"
534,GA,Terrell County,36.5,"32,342"
535,GA,Thomas County,21.7,"40,449"
536,GA,Tift County,27.1,"39,988"
537,GA,Toombs County,25.1,"34,953"
538,GA,Towns County,16.7,"39,782"
539,GA,Treutlen County,28.7,"32,086"
540,GA,Troup County,19.3,"41,289"
541,GA,Turner County,28.4,"35,117"
542,GA,Twiggs County,26.3,"36,086"
543,GA,Union County,14.3,"42,782"
544,GA,Upson County,22.7,"37,864"
545,GA,Walker County,18.8,"42,249"
546,GA,Walton County,12.7,"57,312"
547,GA,Ware County,28.4,"35,270"
548,GA,Warren County,27.7,"32,350"
549,GA,Washington County,26.3,"36,499"
550,GA,Wayne County,20.8,"41,466"
551,GA,Webster County,23.6,"35,770"
552,GA,Wheeler County,39.3,"30,926"
553,GA,White County,15.2,"43,598"
554,GA,Whitfield County,15.3,"45,921"
555,GA,Wilcox County,30.4,"32,480"
556,GA,Wilkes County,22.9,"34,031"
557,GA,Wilkinson County,20.9,"38,103"
558,GA,Worth County,21.7,"39,560"
559,HI,Hawaii,10.7,"73,097"
560,HI,Hawaii County,18.3,"54,914"
561,HI,Honolulu County,9.2,"76,544"
562,HI,Kalawao County,.,.
563,HI,Kauai County,11.2,"70,122"
564,HI,Maui County,10.7,"68,684"
565,ID,Idaho,14.7,"48,311"
566,ID,Ada County,11.7,"58,431"
567,ID,Adams County,15.8,"39,943"
568,ID,Bannock County,22.3,"43,298"
569,ID,Bear Lake County,13.7,"48,309"
570,ID,Benewah County,18.0,"41,368"
571,ID,Bingham County,14.0,"49,644"
572,ID,Blaine County,8.9,"65,272"
573,ID,Boise County,14.4,"52,728"
574,ID,Bonner County,15.8,"44,072"
575,ID,Bonneville County,13.2,"54,008"
576,ID,Boundary County,15.8,"41,803"
577,ID,Butte County,15.9,"43,780"
578,ID,Camas County,10.7,"46,203"
579,ID,Canyon County,15.9,"44,585"
580,ID,Caribou County,10.8,"57,017"
581,ID,Cassia County,16.7,"47,932"
582,ID,Clark County,15.3,"40,098"
583,ID,Clearwater County,15.3,"42,630"
584,ID,Custer County,14.0,"45,801"
585,ID,Elmore County,15.0,"44,509"
586,ID,Franklin County,9.7,"53,901"
587,ID,Fremont County,15.0,"49,555"
588,ID,Gem County,15.8,"44,017"
589,ID,Gooding County,13.9,"48,950"
590,ID,Idaho County,16.3,"41,157"
591,ID,Jefferson County,10.5,"53,555"
592,ID,Jerome County,15.8,"47,034"
593,ID,Kootenai County,14.7,"48,864"
594,ID,Latah County,19.6,"46,360"
595,ID,Lemhi County,17.6,"40,087"
596,ID,Lewis County,16.3,"41,688"
597,ID,Lincoln County,14.5,"46,168"
598,ID,Madison County,28.1,"38,065"
599,ID,Minidoka County,17.0,"45,429"
600,ID,Nez Perce County,13.5,"50,939"
601,ID,Oneida County,12.2,"47,037"
602,ID,Owyhee County,19.9,"39,738"
603,ID,Payette County,15.7,"44,499"
604,ID,Power County,14.1,"44,004"
605,ID,Shoshone County,21.1,"37,497"
606,ID,Teton County,9.8,"58,013"
607,ID,Twin Falls County,14.6,"45,799"
608,ID,Valley County,10.7,"51,774"
609,ID,Washington County,17.1,"38,592"
610,IL,Illinois,13.6,"59,590"
611,IL,Adams County,13.4,"47,264"
612,IL,Alexander County,28.6,"32,922"
613,IL,Bond County,14.8,"50,206"
614,IL,Boone County,10.3,"62,382"
615,IL,Brown County,16.7,"53,516"
616,IL,Bureau County,12.6,"51,275"
617,IL,Calhoun County,11.6,"51,109"
618,IL,Carroll County,10.7,"50,432"
619,IL,Cass County,12.2,"46,647"
620,IL,Champaign County,20.1,"50,813"
621,IL,Christian County,12.7,"49,041"
622,IL,Clark County,13.8,"50,700"
623,IL,Clay County,14.5,"43,577"
624,IL,Clinton County,8.5,"64,030"
625,IL,Coles County,21.8,"42,613"
626,IL,Cook County,16.2,"56,841"
627,IL,Crawford County,13.4,"49,856"
628,IL,Cumberland County,12.0,"51,505"
629,IL,DeKalb County,16.2,"56,874"
630,IL,De Witt County,11.6,"54,796"
631,IL,Douglas County,10.2,"53,213"
632,IL,DuPage County,7.1,"81,616"
633,IL,Edgar County,13.9,"50,306"
634,IL,Edwards County,11.3,"48,329"
635,IL,Effingham County,9.8,"53,077"
636,IL,Fayette County,18.5,"41,838"
637,IL,Ford County,11.3,"53,151"
