,LocationDesc,LocationAbbr,Sample_Size,Latitude,Longitude,Data_Value
131,New Mexico,NM,8385.0,34.52088095200048,-106.2405809849997,27.1
132,New Mexico,NM,8914.0,34.52088095200048,-106.2405809849997,26.4
133,New Mexico,NM,8284.0,34.52088095200048,-106.2405809849997,28.4
134,New York,NY,7222.0,42.82700103200045,-75.54397042699965,24.5
135,New York,NY,5700.0,42.82700103200045,-75.54397042699965,23.6
136,New York,NY,8465.0,42.82700103200045,-75.54397042699965,25.4
137,New York,NY,6325.0,42.82700103200045,-75.54397042699965,27.0
138,North Carolina,NC,10790.0,35.466220975000454,-79.15925046299964,29.1
139,North Carolina,NC,11113.0,35.466220975000454,-79.15925046299964,29.6
140,North Carolina,NC,8292.0,35.466220975000454,-79.15925046299964,29.4
141,North Carolina,NC,6621.0,35.466220975000454,-79.15925046299964,29.7
142,North Dakota,ND,4982.0,47.47531977900047,-100.11842104899965,27.8
143,North Dakota,ND,4625.0,47.47531977900047,-100.11842104899965,29.7
144,North Dakota,ND,7413.0,47.47531977900047,-100.11842104899965,31.0
145,North Dakota,ND,7269.0,47.47531977900047,-100.11842104899965,32.2
146,Ohio,OH,9339.0,40.060210141000475,-82.40426005599966,29.6
147,Ohio,OH,12319.0,40.060210141000475,-82.40426005599966,30.1
148,Ohio,OH,11260.0,40.060210141000475,-82.40426005599966,30.4
149,Ohio,OH,10313.0,40.060210141000475,-82.40426005599966,32.6
150,Oklahoma,OK,8159.0,35.472031356000464,-97.52107021399969,31.1
151,Oklahoma,OK,7719.0,35.472031356000464,-97.52107021399969,32.2
152,Oklahoma,OK,7875.0,35.472031356000464,-97.52107021399969,32.5
153,Oklahoma,OK,8009.0,35.472031356000464,-97.52107021399969,33.0
154,Oregon,OR,5959.0,44.56744942400047,-120.15503132599967,26.7
155,Oregon,OR,5056.0,44.56744942400047,-120.15503132599967,27.3
156,Oregon,OR,5668.0,44.56744942400047,-120.15503132599967,26.5
157,Oregon,OR,4919.0,44.56744942400047,-120.15503132599967,27.9
158,Pennsylvania,PA,10850.0,40.79373015200048,-77.86070029399963,28.6
159,Pennsylvania,PA,18893.0,40.79373015200048,-77.86070029399963,29.1
160,Pennsylvania,PA,10857.0,40.79373015200048,-77.86070029399963,30.0
161,Pennsylvania,PA,10374.0,40.79373015200048,-77.86070029399963,30.2
162,Puerto Rico,PR,5762.0,18.220833,-66.590149,27.9
163,Puerto Rico,PR,5743.0,18.220833,-66.590149,28.3
164,Rhode Island,RI,6182.0,41.70828019300046,-71.52247031399962,25.4
165,Rhode Island,RI,5188.0,41.70828019300046,-71.52247031399962,25.7
166,Rhode Island,RI,6191.0,41.70828019300046,-71.52247031399962,27.3
167,Rhode Island,RI,5969.0,41.70828019300046,-71.52247031399962,27.0
168,South Carolina,SC,12352.0,33.99882130300045,-81.04537120699969,30.8
169,South Carolina,SC,12210.0,33.99882130300045,-81.04537120699969,31.6
170,South Carolina,SC,10227.0,33.99882130300045,-81.04537120699969,31.7
171,South Carolina,SC,10393.0,33.99882130300045,-81.04537120699969,32.1
172,South Dakota,SD,7820.0,44.35313005300048,-100.3735306369997,28.1
173,South Dakota,SD,7433.0,44.35313005300048,-100.3735306369997,28.1
174,South Dakota,SD,6960.0,44.35313005300048,-100.3735306369997,29.8
175,South Dakota,SD,6531.0,44.35313005300048,-100.3735306369997,29.9
